business_id,reporting_period,maintenance_category_key,metric_id,metric_value,metric_unit,metric_status,source_value,source_workbook,source_sheet,source_row
ausnet_transmission,2019-20,protection_systems_maintenance::protection_systems,maintenance_cycle_years,3.0,years,numeric,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_towers,asset_quantity_at_year_end,13206.0,count,numeric,13206.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_towers,quantity_inspected_maintained,14673.333333333334,count,numeric,14673.333333333334,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_towers,average_age_of_asset_group,50.790549750113584,years,numeric,50.790549750113584,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_towers,inspection_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_towers,maintenance_cycle_years,9.0,years,numeric,9.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_tower_support_structures,asset_quantity_at_year_end,69605.0,count,numeric,69605.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_tower_support_structures,quantity_inspected_maintained,46403.333333333336,count,numeric,46403.333333333336,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_tower_support_structures,average_age_of_asset_group,50.0462538610732,years,numeric,50.0462538610732,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_tower_support_structures,inspection_cycle_years,3.0,years,numeric,3.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_tower_support_structures,maintenance_cycle_years,3.0,years,numeric,3.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13
ausnet_transmission,2020-21,transmission_lines_maintenance::conductors,asset_quantity_at_year_end,5024.7,km,numeric,5024.7,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14
ausnet_transmission,2020-21,transmission_lines_maintenance::conductors,quantity_inspected_maintained,1674.9,km,numeric,1674.9,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14
ausnet_transmission,2020-21,transmission_lines_maintenance::conductors,average_age_of_asset_group,40.18905270513225,years,numeric,40.18905270513225,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14
ausnet_transmission,2020-21,transmission_lines_maintenance::conductors,inspection_cycle_years,3.0,years,numeric,3.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14
ausnet_transmission,2020-21,transmission_lines_maintenance::conductors,maintenance_cycle_years,0.0,years,numeric,0.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_cables,asset_quantity_at_year_end,8.542370333333334,km,numeric,8.542370333333334,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_cables,quantity_inspected_maintained,17.08474066666667,km,numeric,17.08474066666667,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_cables,average_age_of_asset_group,27.134999999999994,years,numeric,27.134999999999994,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_cables,inspection_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15
