reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row
2019-20,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,1888640.5278221397,4090691.8162128897,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,54
2019-20,Substations equipment & property maintenance,Substation power transformers,$0's,1948530.9068821473,2032661.1106778383,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,55
2019-20,Substations equipment & property maintenance,Substation property,$0's,3324972.615295713,2338028.973109273,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,56
2019-20,SCADA & network control maintenance,SCADA & network control maintenance,$0's,2494035.13,373045.42,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,57
2019-20,Protection systems maintenance,Protection systems maintenance,$0's,2815939.23,1518224.6800000002,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,58
2019-20,Other maintenance activity ,RIGHT OF WAY ROW MAINTENANCE,$0's,1871316.77,81869.91,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,59
2020-21,Transmission lines maintenance,Transmission towers,$0's,1890651.4158296047,10223752.684535133,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,2.8 Maintenance,50
2020-21,Transmission lines maintenance,Transmission tower support structures,$0's,1664545.2593475608,4143620.5711191744,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,2.8 Maintenance,51
2020-21,Transmission lines maintenance,Conductors,$0's,790658.9981900913,1466989.7790456675,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,2.8 Maintenance,52
2020-21,Transmission lines maintenance,Transmission cables,$0's,310539.2466327427,27014.465300026004,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,2.8 Maintenance,53
2020-21,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,1438457.7963069999,2527285.1375062955,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,2.8 Maintenance,54
