reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row
2023-24,Transmission lines maintenance,Transmission cables,Route length,km,8.542370333333333,17.084740666666665,30.134999999999994,1.0,1.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,16
2023-24,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,number,1058.0,2223.0,22.648715144887916,1.0,6.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,17
2023-24,Substations equipment & property maintenance,Substation power transformers,Number of transformers,number,161.0,1635.0,28.304347826086957,1.0,4.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,18
2023-24,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,number,47.0,997.0,42.96521739130435,0.083,0.5,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,19
2023-24,SCADA & network control maintenance,SCADA & network control maintenance,Units,,19503.181689999994,9751.590844999997,20.18886077118391,4.0,4.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,20
2023-24,Protection systems maintenance,Protection systems maintenance,Units,,5401.000000000001,3600.6666666666674,16.52988526491195,3.0,3.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,21
2023-24,Other maintenance activity ,,,,,,,,,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,22
2013-14,Transmission lines maintenance,Transmission towers,Number of towers (000's),,37.65,28.15,36.01,1.8,5.4,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,12
2013-14,Transmission lines maintenance,Transmission tower support structures,Number of towers (000's),,0.0,0.0,0.0,0.0,0.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,13
2013-14,Transmission lines maintenance,Conductors,Route length (km),,11258.618,47.486,36.384,7.2,0.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,14
2013-14,Transmission lines maintenance,Transmission cables,Route length (km),,51.437,51.437,18.889,0.003,0.75,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,15
2013-14,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays (000's),,2.338,0.552,25.555603079555176,0.5,4.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,16
2013-14,Substations equipment & property maintenance,Substation power transformers,Number of transformers (000's),,0.223,0.206,20.721973,0.5,4.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,17
2013-14,Substations equipment & property maintenance,Substation property,Number of substation properties maintained (000's),,0.093,0.092,32.3,0.0833333333333333,0.25,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,18
2013-14,SCADA & network control maintenance,SCADA & network control maintenance,NO. OF CONTROL IEDs,,1602.0,589.0,7.17,0.0,0.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,19
2013-14,Protection systems maintenance,Protection systems maintenance,NO.OF MAIN RELAYS,,5749.0,1538.0,20.24,0.0,3.2457,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,20
2013-14,Other maintenance activity ,Telecomms Systems,NO. OF TERMINAL EQUIPMENT/BASE STATION/MUX/POWER SUPPLIES,,2024.0,1131.0,13.07,0.36,3.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,21
2013-14,,Metering Systems,NO. OF METERS,,863.0,889.0,10.76,2.5,5.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,22
2015-16,Transmission lines maintenance,Transmission towers,Number of towers,0's,13.253,13.253,44.3,0.5,Nil. Cond mon.&corr mtce,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,12
2015-16,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,58.668,58.668,42.0,0.5,Nil. Cond mon.&corr mtce,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,13
2015-16,Transmission lines maintenance,Conductors,Route length,km,5.497,5.497,42.7,0.5,Nil. Cond mon.&corr mtce,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,14
2015-16,Transmission lines maintenance,Transmission cables,Route length,km,0.027,0.027,12.5,0.02,Nil. Cond mon.&corr mtce,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,15
2015-16,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1.346,1.346,22.7,0.25,6,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,16
2015-16,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,0.139,0.139,29.1,0.25,6,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,17
2015-16,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,0.077,0.077,37.9,0.25,0.5,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,18
2015-16,SCADA & network control maintenance,SCADA & network control maintenance,Number of comms sites,0's,120.0,120.0,30.0,0.5,Nil. Cond mon.&corr mtce,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,19
2015-16,Protection systems maintenance,Protection systems maintenance,Number of protection systems,0's,1362.0,1362.0,13.6,0.25,4,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,20
2015-16,Right of way (Row) maintenance,Row Maintenance ,Length (Route Km),000' km,4.539,4.539,42.7,0.5,3,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,21
